"lineage","definition","layer","reason"
"","JSONRPCHeader","jsonrpc","The house header every message carries: the JSON-RPC version pin."
"","JSONRPCIdentifiedHeader","jsonrpc","The house header of requests and result responses: the pin plus the correlating id."
"","MCPMessage","jsonrpc","The house root: one wire message, read as any typed message shape."
"","ServerResultResponse","jsonrpc","The house wrapper that gives the server's result union its message; the results it carries are placed on their own."
"","ProtocolErrorResponse","jsonrpc","The house wrapper that gives the typed error objects their message."
"2026-07-28","BaseMetadata","session","The name-and-title base of tools, resources, prompts and implementations - naming plumbing, no concern of its own; its descendants span four layers."
"2026-07-28","Icons","session","The icon list any named thing may carry - presentation plumbing beside BaseMetadata."
"2026-07-28","CacheableResult","session","The cache-scope and ttl every cacheable result carries, on the pattern of HTTP Cache-Control - transport plumbing; its descendants span three layers."
"2026-07-28","PaginatedRequest","session","The cursor a paginated request carries - pagination plumbing; its descendants span three layers."
"2026-07-28","PaginatedResult","session","The next cursor a paginated result carries - pagination plumbing; its descendants span three layers."
"2026-07-28","ClientRequest","session","The direction union: every request a client sends, MCP's session role, spanning every layer."
"2026-07-28","ServerResult","session","The direction union: every result a server returns, MCP's session role, spanning every layer."
"2026-07-28","InputResponseRequestParams","agentic","The retry's params (inputResponses, requestState) of the input-required round trip; nothing references it, but it is the continuation's shape."
"2025-11-25","BaseMetadata","session","The name-and-title base of tools, resources, prompts and implementations - naming plumbing; its descendants span four layers."
"2025-11-25","Icons","session","The icon list any named thing may carry - presentation plumbing beside BaseMetadata."
"2025-11-25","PaginatedRequest","session","The cursor a paginated request carries - pagination plumbing; its descendants span three layers."
"2025-11-25","PaginatedRequestParams","session","The params of a paginated request - pagination plumbing."
"2025-11-25","PaginatedResult","session","The next cursor a paginated result carries - pagination plumbing; its descendants span three layers."
"2025-11-25","RequestParams","jsonrpc","The params every request carries (_meta, progressToken) - the kernel's, untagged in this lineage."
"2025-11-25","ClientRequest","session","The direction union: every request a client sends, MCP's session role, spanning every layer."
"2025-11-25","ClientResult","session","The direction union: every result a client returns to a server request, MCP's session role."
"2025-11-25","ServerRequest","session","The direction union: every request a server sends - sampling, roots, elicitation, ping and the task requests - MCP's session role."
"2025-11-25","ServerResult","session","The direction union: every result a server returns, MCP's session role, spanning every layer."
"2025-11-25","ReadResourceRequestParams","resources","The params of resources/read: a uri; untagged, a resource's."
"2025-11-25","ResourceRequestParams","resources","The uri-bearing params base of the resource requests; untagged, a resource's."
"2025-11-25","SubscribeRequestParams","resources","The params of resources/subscribe: a uri; untagged, a resource's."
"2025-11-25","UnsubscribeRequestParams","resources","The params of resources/unsubscribe: a uri; untagged, a resource's."
"2025-11-25","TaskAugmentedRequestParams","tasks","The params base that lets a request run as a task; untagged, the task layer's."
"2025-11-25","URLElicitationRequiredError","agentic","The error a server raises when a URL elicitation must complete first; untagged, elicitation's."
"2025-06-18","BaseMetadata","session","The name-and-title base of tools, resources, prompts and implementations - naming plumbing; its descendants span four layers."
"2025-06-18","PaginatedRequest","session","The cursor a paginated request carries - pagination plumbing; its descendants span three layers."
"2025-06-18","PaginatedResult","session","The next cursor a paginated result carries - pagination plumbing; its descendants span three layers."
"2025-06-18","Request","jsonrpc","The request every message-level request extends - the kernel's, untagged in this lineage."
"2025-06-18","Notification","jsonrpc","The notification every message-level notification extends - the kernel's, untagged in this lineage."
"2025-06-18","ClientRequest","session","The direction union: every request a client sends, MCP's session role, spanning every layer."
"2025-06-18","ClientResult","session","The direction union: every result a client returns to a server request, MCP's session role."
"2025-06-18","ServerRequest","session","The direction union: every request a server sends - ping, sampling, roots, elicitation - MCP's session role."
"2025-06-18","ServerResult","session","The direction union: every result a server returns, MCP's session role, spanning every layer."
