"name","description"
"BlobResourceContents","The contents of a resource delivered as base64-encoded binary data: the blob, its URI, and an optional MIME type."
"BooleanSchema","A primitive input schema for elicitation: a boolean field, with optional title, description and default."
"ClientRequest","The requests a client sends to a server - MCP's session role, not JSON-RPC's per-exchange one: discovery, the resource, prompt and tool verbs, subscriptions and completion."
"ContentBlock","The content a message may carry: text, image, audio, a resource link, or an embedded resource."
"EnumSchema","The enum input schemas for elicitation: single- or multi-select, titled or untitled, and the legacy titled form."
"Error","The JSON-RPC error object: an integer code, a short message, and optional sender-defined data."
"InputRequest","A request the server raises mid-request for the client to answer - a sampling message, the roots list, or an elicitation - carried in an input-required result."
"InputResponse","The client's answer to an input request: a sampling result, a roots list, or an elicitation result."
"InputResponseRequestParams","Request parameters that carry the client's answers to earlier input requests and the server's request state, so a request can resume."
"JSONArray","A JSON array: an ordered list of JSON values."
"JSONObject","A JSON object: string keys to JSON values."
"JSONValue","Any JSON value: an object, an array, a string, an integer, a boolean, or null."
"MultiSelectEnumSchema","An enum input schema allowing several selected values, titled or untitled."
"Notification","The payload of a JSON-RPC notification: a method name and optional params, and no id - nothing to correlate a reply with."
"NumberSchema","A primitive input schema for elicitation: a number or integer field, with optional bounds and default."
"PaginatedRequest","A request over a list, whose params carry the cursor of the page wanted."
"PaginatedResult","A result over a list, whose nextCursor, when present, names the page after this one."
"Request","The payload of a JSON-RPC request: a method name and optional params; the header and id are the envelope's."
"SamplingMessageContentBlock","The content a sampling message may carry: text, image, audio, a tool use, or a tool result. Upstream marks it deprecated: it remains in the specification for at least twelve months, per the deprecated features registry."
"ServerNotification","The notifications a server sends to a client - MCP's session role: cancellation and progress, list changes, resource updates, subscription acknowledgements, and log messages."
"ServerResult","The results a server returns to a client. The bare Result branch admits any result shape, so as a validator this union refuses nothing the Result does not."
"SingleSelectEnumSchema","An enum input schema allowing one selected value, titled or untitled."
"StringSchema","A primitive input schema for elicitation: a string field, with optional length bounds, format and default."
"TextResourceContents","The contents of a resource delivered as text, with its URI and an optional MIME type."
