"conversations_path","session_path","apiConversation_path","mcp_path","relationship","note"
"rsc/schema/chat-exports/conversations#/definitions/ContentBlock","rsc/schema/code-agents/session#/definitions/ContentBlock","","rsc/reference/mcp#/$defs/ContentBlock","name_collision","both discriminate on type but the CLI covers text/tool_use/tool_result/thinking/image; the export also covers these but wraps them in a UI envelope; MCP ContentBlock covers a different set (text/image/audio/resource_link/resource); the shared kernel is MCP's content layer - ContentBlock carries tool results, SamplingMessageContentBlock the sampling messages - never a wire message"
"rsc/schema/chat-exports/conversations#/definitions/TextBlock/properties/type","rsc/schema/code-agents/session#/definitions/TextBlock/properties/type","","rsc/reference/mcp#/$defs/TextContent/properties/type","identical",""
"rsc/schema/chat-exports/conversations#/definitions/TextBlock/properties/text","rsc/schema/code-agents/session#/definitions/TextBlock/properties/text","","rsc/reference/mcp#/$defs/TextContent/properties/text","identical",""
"rsc/schema/chat-exports/conversations#/definitions/TextBlock/properties/start_timestamp","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/TextBlock/properties/stop_timestamp","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/TextBlock/properties/citations","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/TextBlock/properties/flags","","","","envelope","always null in observed exports"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlock","","","rsc/reference/mcp#/$defs/ToolUseContent","subset","MCP adds _meta/annotations; export adds envelope fields; the join is at MCP's sampling layer (ToolUseContent is a SamplingMessageContentBlock, the model-facing message shape), not the tools/call wire (CallToolRequestParams)"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/type","rsc/schema/code-agents/session#/definitions/ToolUseBlock/properties/type","","rsc/reference/mcp#/$defs/ToolUseContent/properties/type","identical",""
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/id","rsc/schema/code-agents/session#/definitions/ToolUseBlock/properties/id","","rsc/reference/mcp#/$defs/ToolUseContent/properties/id","subset","conv narrows to ToolId (^toolu_ pattern"," the 2026-08 mint); CLI and MCP admit any string - the patterned side is the subset"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/name","rsc/schema/code-agents/session#/definitions/ToolUseBlock/properties/name","","rsc/reference/mcp#/$defs/ToolUseContent/properties/name","identical","MCP and CLI use plain string; conv v4+ widened from enum to string to admit MCP-namespaced names"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/input","rsc/schema/code-agents/session#/definitions/ToolUseBlock/properties/input","","rsc/reference/mcp#/$defs/ToolUseContent/properties/input","identical","distinct from MCP CallToolRequestParams.arguments (the tools/call wire); ToolUseContent.input is the sampling layer's, and both export formats use input"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/start_timestamp","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/stop_timestamp","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/flags","","","","envelope","always null in observed exports"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/message","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/integration_name","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/integration_icon_url","","","","envelope","no MCP counterpart"
"rsc/schema/chat-exports/conversations#/definitions/ToolUseBlockBase/properties/icon_name","","","","envelope","no MCP counterpart"
