conv_path,mcp_path,relationship,note
./v5.json#/definitions/ContentBlock,../_reference/mcp.json#/definitions/ContentBlock,name_collision,"both discriminate on type but cover entirely different sets: export covers message-level blocks (text/tool_use/tool_result/thinking); MCP covers content item types (text/image/audio/resource_link/resource)"
./v5.json#/definitions/TextBlock,../_reference/mcp.json#/definitions/TextContent,subset,MCP adds annotations/_meta; export adds start_timestamp/stop_timestamp/citations/flags
./v5.json#/definitions/TextBlock/properties/type,../_reference/mcp.json#/definitions/TextContent/properties/type,identical,
./v5.json#/definitions/TextBlock/properties/text,../_reference/mcp.json#/definitions/TextContent/properties/text,identical,
./v5.json#/definitions/TextBlock/properties/start_timestamp,,envelope,no MCP counterpart
./v5.json#/definitions/TextBlock/properties/stop_timestamp,,envelope,no MCP counterpart
./v5.json#/definitions/TextBlock/properties/citations,,envelope,no MCP counterpart
./v5.json#/definitions/TextBlock/properties/flags,,envelope,always null in observed exports
./v5.json#/definitions/ToolUseBlock,../_reference/mcp.json#/definitions/ToolUseContent,subset,MCP adds _meta/annotations; export adds envelope fields
./v5.json#/definitions/ToolUseBlockBase/properties/type,../_reference/mcp.json#/definitions/ToolUseContent/properties/type,identical,
./v5.json#/definitions/ToolUseBlockBase/properties/id,../_reference/mcp.json#/definitions/ToolUseContent/properties/id,identical,
./v5.json#/definitions/ToolUseBlockBase/properties/name,../_reference/mcp.json#/definitions/ToolUseContent/properties/name,identical,
./v5.json#/definitions/ToolUseBlockBase/properties/input,../_reference/mcp.json#/definitions/ToolUseContent/properties/input,identical,distinct from CallToolRequestParams.arguments (RPC layer); ToolUseContent.input and export both use input
./v5.json#/definitions/ToolUseBlockBase/properties/start_timestamp,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/stop_timestamp,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/flags,,envelope,always null in observed exports
./v5.json#/definitions/ToolUseBlockBase/properties/message,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/integration_name,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/integration_icon_url,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/icon_name,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/context,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/approval_options,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/approval_key,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/is_mcp_app,,envelope,no MCP counterpart
./v5.json#/definitions/ToolUseBlockBase/properties/mcp_server_url,,envelope,always null in observed exports; MCP server origin tracking
./v5.json#/definitions/ToolUseBlockBase/properties/display_content,,envelope,no MCP counterpart; claude.ai UI rendering hint
./v5.json#/definitions/ToolResultBlock,../_reference/mcp.json#/definitions/ToolResultContent,subset,MCP adds _meta; export adds envelope fields; tool_use_id/is_error/structured_content snake_cased
./v5.json#/definitions/ToolResultBlockBase/properties/type,../_reference/mcp.json#/definitions/ToolResultContent/properties/type,identical,
./v5.json#/definitions/ToolResultBlockBase/properties/tool_use_id,../_reference/mcp.json#/definitions/ToolResultContent/properties/toolUseId,snake_cased,
