cli_path,conv_path,mcp_path,relationship,note
./v1.json#/definitions/ContentBlock,../conversations/v6.json#/definitions/ContentBlock,,name_collision,"both discriminate on type but the CLI covers text/tool_use/tool_result/thinking/image; the export also covers these but wraps them in a UI envelope; MCP ContentBlock covers a different set (text/image/audio/resource_link/resource)"
./v1.json#/definitions/TextBlock,../conversations/v6.json#/definitions/TextBlock,../mcp.json#/definitions/TextContent,subset,"CLI: {type, text} only. Conv adds start_timestamp/stop_timestamp/citations/flags. MCP adds _meta/annotations."
./v1.json#/definitions/TextBlock/properties/type,../conversations/v6.json#/definitions/TextBlock/properties/type,../mcp.json#/definitions/TextContent/properties/type,identical,
./v1.json#/definitions/TextBlock/properties/text,../conversations/v6.json#/definitions/TextBlock/properties/text,../mcp.json#/definitions/TextContent/properties/text,identical,
./v1.json#/definitions/ToolUseBlock,../conversations/v6.json#/definitions/ToolUseBlockBase,../mcp.json#/definitions/ToolUseContent,subset,"CLI: {type, id, name, input, caller}. Conv adds start_timestamp/stop_timestamp/flags/message/integration_*/icon_name/context/approval_*/is_mcp_app/mcp_server_url/display_content. MCP adds _meta/annotations. CLI uniquely adds caller (no MCP/conv counterpart)."
./v1.json#/definitions/ToolUseBlock/properties/type,../conversations/v6.json#/definitions/ToolUseBlockBase/properties/type,../mcp.json#/definitions/ToolUseContent/properties/type,identical,
./v1.json#/definitions/ToolUseBlock/properties/id,../conversations/v6.json#/definitions/ToolUseBlockBase/properties/id,../mcp.json#/definitions/ToolUseContent/properties/id,identical,
./v1.json#/definitions/ToolUseBlock/properties/name,../conversations/v6.json#/definitions/ToolUseBlockBase/properties/name,../mcp.json#/definitions/ToolUseContent/properties/name,identical,"MCP and CLI use plain string; conv v4+ widened from enum to string to admit MCP-namespaced names"
./v1.json#/definitions/ToolUseBlock/properties/input,../conversations/v6.json#/definitions/ToolUseBlockBase/properties/input,../mcp.json#/definitions/ToolUseContent/properties/input,identical,"distinct from MCP CallToolRequestParams.arguments (RPC layer); ToolUseContent.input and both export formats use input"
./v1.json#/definitions/ToolUseBlock/properties/caller,,,cli_only,"Component that invoked the tool (e.g. {type: direct}). No MCP or conversations export counterpart."
./v1.json#/definitions/ToolResultBlock,../conversations/v6.json#/definitions/ToolResultBlockBase,../mcp.json#/definitions/ToolResultContent,subset,"CLI: {type, tool_use_id, content, is_error}. Conv adds start_timestamp/stop_timestamp/flags/name/meta/message/integration_*/mcp_server_url/icon_name/display_content/structured_content. MCP adds _meta. CLI content is [string, array]; MCP content is array of content items."
./v1.json#/definitions/ToolResultBlock/properties/type,../conversations/v6.json#/definitions/ToolResultBlockBase/properties/type,../mcp.json#/definitions/ToolResultContent/properties/type,identical,
./v1.json#/definitions/ToolResultBlock/properties/tool_use_id,../conversations/v6.json#/definitions/ToolResultBlockBase/properties/tool_use_id,../mcp.json#/definitions/ToolResultContent/properties/toolUseId,snake_cased,"CLI and conv use tool_use_id; MCP uses toolUseId"
./v1.json#/definitions/ToolResultBlock/properties/is_error,../conversations/v6.json#/definitions/ToolResultBlockBase/properties/is_error,../mcp.json#/definitions/ToolResultContent/properties/isError,snake_cased,"CLI and conv use is_error; MCP uses isError"
